artifact_name,artifact_link,artifact_studies,artifact_maturity,artifact_type,artificat_evidence_level,artifact_input,artifact_level_automation,artifact_vendor,artifact_n_studies,artifact_license
CODEFLOW,https://www.getcodeflow.com/,['290'],{'Proof-of-concept': ['290']},{'Tool': ['290']},{'Academic Studies': ['290']},{'Source Code\r\nCode Reviews': ['290']},{'It automates a task': ['290']},[],1,{'Open Source': ['290']}
CODEMR,https://www.codemr.co.uk/,['356'],{'Runnig Examples': ['356']},{'Tool': ['356']},{'Examples': ['356']},{'Source code': ['356']},{'It automates a task': ['356']},[],1,{'Commercial/Private': ['356']}
CODEMRI,https://codemri.com/,['348'],{None: ['348']},{None: ['348']},{None: ['348']},{None: ['348']},{None: ['348']},[],1,{None: ['348']}
CODESCENE,https://codescene.io/,"['172', '175', '297', '334']","{'Proof-of-concept': ['172', '297'], 'Runnig Examples': ['175'], None: ['334']}","{'Tool': ['172', '175'], 'Approach (e.g., integration of different tools)': ['297'], None: ['334']}","{'Examples': ['172', '175'], 'Academic Studies': ['297'], None: ['334']}","{'Source Code': ['172', '175', '297'], None: ['334']}","{'It automates a task (e.g., static code analysis)': ['172', '175'], 'It automates a process': ['297'], None: ['334']}",['297'],4,"{'Commercial/Private': ['172'], 'Free for Open Source Projects': ['175'], 'Open Source': ['297'], None: ['334']}"
CODESONARTM,https://www.grammatech.com/codesonar-cc,['204'],{'Runnig Examples': ['204']},{'Tool': ['204']},{'Examples': ['204']},{'Source Code': ['204']},"{'It automates a task (e.g., static code analysis)': ['204']}",[],1,{'Free': ['204']}
CODESURFER,https://www.cppdepend.com/,['Zengyang-S88'],{'Demonstration in relevant environment': ['Zengyang-S88']},{'Tool': ['Zengyang-S88']},{'Industrial Studies': ['Zengyang-S88']},{'Source Code': ['Zengyang-S88']},{'It automates a task': ['Zengyang-S88']},[],1,{'Commercial/Private': ['Zengyang-S88']}
CODEVIZARD,http://www.cs.umd.edu/~basili/hpcs/index.php_id=21,"['241', '9']","{'Validation in relevant environment': ['241'], 'Proof-of-concept': ['9']}","{'Tool': ['241', '9']}","{'Academic Studies': ['241', '9']}","{'Source Code': ['241', '9']}","{'It automates a task': ['241', '9']}",[],2,"{'Free': ['241', '9']}"
COMMENT_PARSER,https://pypi.python.org/pypi/comment_parser,"['182', '212']","{'Runnig Examples': ['182'], 'Proof-of-concept': ['212']}","{'Approach (e.g., integration of different tools)': ['182', '212']}","{'Examples': ['182'], 'Academic Studies': ['212']}","{'Code Comments': ['182', '212']}","{'It automates a task (e.g., static code analysis)': ['182'], 'It automates a task': ['212']}",[],2,"{'Open Source': ['182'], 'Free': ['212']}"
CONVULATIONAL NEURAL NETWORKS WITH TENSORFLOW,https://github.com/dennybritz/cnn-text-classification-tf,['245'],{'Proof-of-concept': ['245']},"{'Approach (e.g., integration of different tools)': ['245']}",{'Academic Studies': ['245']},{'Code Comments': ['245']},{'It automates a task': ['245']},[],1,{'Open Source': ['245']}
COVERITY,,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
COVERITY SCAN,https://scan.coverity.com,['289'],{'Proof-of-concept': ['289']},{'Tool': ['289']},{'Academic Studies': ['289']},{'Source Code': ['289']},{'It automates a process': ['289']},[],1,{'Free': ['289']}
COVERITYSCAN,https://scan.coverity.com,['248'],{'Proof-of-concept': ['248']},{'Tool': ['248']},{'Academic Studies': ['248']},{'Source Code': ['248']},{'It automates a task': ['248']},[],1,{'Open Source': ['248']}
CPPCHECK,http://cppcheck.sourceforge.net,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
CPPDEPEND,https://www.cppdepend.com/,"['303', 'Zengyang-S88']","{'Demonstration in real environment': ['303'], 'Demonstration in relevant environment': ['Zengyang-S88']}","{'Tool': ['303', 'Zengyang-S88']}","{'Industrial Applications': ['303'], 'Industrial Studies': ['Zengyang-S88']}","{'Source Code': ['303', 'Zengyang-S88']}","{'It automates a task': ['303', 'Zengyang-S88']}",[],2,"{'Commercial with free trial': ['303'], 'Commercial/Private': ['Zengyang-S88']}"
CSDETECTOR,https://github.com/maelstromdat/CodeFace4Smells,['267'],{'Proof-of-concept': ['267']},{'Tool': ['267']},{'Academic Studies': ['267']},"{'Github metadata (e.g., number of releases)\r\nSource Code': ['267']}",{'It automates a task': ['267']},['267'],1,{'Open Source': ['267']}
CYTOSCAPE,https://cytoscape.org/,['Zengyang-S58'],{'Proof-of-concept': ['Zengyang-S58']},{'Tool': ['Zengyang-S58']},{'Academic Studies': ['Zengyang-S58']},{'Source Code': ['Zengyang-S58']},{'It automates a task': ['Zengyang-S58']},[],1,{'Free': ['Zengyang-S58']}
DBDEO,https://github.com/tushartushar/DbDeo,['162'],{'Proof-of-concept': ['162']},{'Tool': ['162']},{'Academic Studies': ['162']},{'SQL statements': ['162']},{'It automates a task': ['162']},['162'],1,{'Open Source': ['162']}
DBQUERIES,https://github.com/erki77/database-design-queries,['273'],{'Proof-of-concept': ['273']},{'SQL Queries': ['273']},{'Examples': ['273']},{'Databases': ['273']},{'It automates a task': ['273']},['273'],1,{'Open Source': ['273']}
DEBTFLAG,Not Accessible,"['334', '57']","{None: ['334'], 'Demonstration and test in real environment': ['57']}","{None: ['334'], 'Tool': ['57']}","{None: ['334'], 'Industrial Studies': ['57']}","{None: ['334'], 'Source Code': ['57']}","{None: ['334'], 'It automates a process': ['57']}",[],2,"{None: ['334'], 'Free': ['57']}"
DEBTFREE,https://github. com/HuyTu7/DebtFree,['444'],{'Proof-of-concept': ['444']},{'Framework': ['444']},{'Academic Studies': ['444']},{'Code Comments': ['444']},{'It automates a task': ['444']},['444'],1,{'Open Source': ['444']}
DEBTGREP,Not Accessible,['334'],{None: ['334']},{None: ['334']},{None: ['334']},{None: ['334']},{None: ['334']},[],1,{None: ['334']}
DEBTHUNTER,https://github.com/PandaMinore/DebtHunter-Tool,['403'],{'Proof-of-concept': ['403']},{None: ['403']},{'Academic Studies': ['403']},{'Code Comments': ['403']},{'It automates a task': ['403']},['403'],1,{'Open Source': ['403']}
DECOR,Not Accessible,['278'],{'Runnig Examples': ['278']},{'Tool': ['278']},{'Examples': ['278']},{'Source code': ['278']},{'It automates a task': ['278']},[],1,{'Open Source': ['278']}
DEPENDS,https://github.com/multilang-depends/depends,['297'],{'Proof-of-concept': ['297']},"{'Approach (e.g., integration of different tools)': ['297']}",{'Academic Studies': ['297']},{'Source Code': ['297']},{'It automates a process': ['297']},['297'],1,{'Open Source': ['297']}
DERECGEA,https://github.com/teomaik/DeRec-GEA,['265'],{'Proof-of-concept': ['265']},{'Algorithm': ['265']},{'Academic Studies': ['265']},{'Source Code': ['265']},{'It automates a process': ['265']},['265'],1,{'Open Source': ['265']}
DESIGNITE,http://www.designite-tools.com,"['226', '79', '422', '289', '297', '379', '269', '354', '349']","{'Proof-of-concept': ['226', '79', '422', '289', '297', '379', '269', '354', '349']}","{'Tool': ['226', '79', '422', '289', '379', '269', '349'], 'Approach (e.g., integration of different tools)': ['297', '354']}","{'Examples': ['226', '79'], 'Academic Studies': ['422', '289', '297', '379', '269', '354', '349']}","{'Source Code': ['226', '79', '422', '289', '297', '379', '354', '349'], 'Source code': ['269']}","{'It automates a task (e.g., static code analysis)': ['226', '79'], 'It automates a task': ['422', '379', '349'], 'It automates a process': ['289', '297', '269', '354']}","['79', '297', '354']",9,"{'Free': ['226', '79', '422', '289', '379', '269', '354'], 'Open Source': ['297'], 'Various': ['349']}"
DESIGNITE JAVA,https://www.designite-tools.com/designitejava/,['340'],{None: ['340']},{None: ['340']},{None: ['340']},{None: ['340']},{None: ['340']},['354'],1,{None: ['340']}
DESIGNITEJAVA,https://www.designite-tools.com/designitejava/,['354'],{'Proof-of-concept': ['354']},"{'Approach (e.g., integration of different tools)': ['354']}",{'Academic Studies': ['354']},{'Source Code': ['354']},{'It automates a process': ['354']},['354'],1,{'Free': ['354']}
DV8,https://archdia.com/,"['178', '208', '297', '334', '340', '348', '349']","{'Demonstration in real environment': ['178', '208'], 'Proof-of-concept': ['297', '349'], None: ['334', '340', '348']}","{'Tool': ['178', '208', '349'], 'Approach (e.g., integration of different tools)': ['297'], None: ['334', '340', '348']}","{'Industrial Studies': ['178'], 'Expert Opinion': ['208'], 'Academic Studies': ['297', '349'], None: ['334', '340', '348']}","{'Dependency Graph\r\nRevision History\r\nBug Reports': ['178'], None: ['208', '334', '340', '348'], 'Source Code': ['297', '349']}","{'It automates a process': ['178', '208', '297'], None: ['334', '340', '348'], 'It automates a task': ['349']}",['297'],7,"{'Free': ['178', '208'], 'Open Source': ['297'], None: ['334', '340', '348'], 'Various': ['349']}"
E-DEBITUM,https://github.com/e-debitum/E-Debitum-tool,['323'],{'Runnig Examples': ['323']},{'Tool': ['323']},{'Examples': ['323']},{'Source Code': ['323']},{'It automates a process': ['323']},['323'],1,{'Open Source': ['323']}
ehsanzabardast/code_tdi_survivability,https://github.com/ehsanzabardast/code_tdi_survivability,['436'],{'Runnig Examples': ['436']},{'Script': ['436']},{'Academic Studies': ['436']},{'Source Code': ['436']},{'It automates a task': ['436']},['436'],1,{'Open Source': ['436']}
EMF REFACTOR,https://www.eclipse.org/emf-refactor/,"['115', '268', '329']","{'Proof-of-concept': ['115', '329'], None: ['268']}","{'Plugin': ['115'], 'Tool': ['268', '329']}","{'Examples': ['115', '268'], 'Academic Studies': ['329']}","{'EMF Refactor - UML Diagrams\r\nSonarQube - Source Code': ['115'], None: ['268'], 'Souce Code\r\nMDD Models': ['329']}","{'It automates a process': ['115'], 'It automates a task': ['268', '329']}",[],3,"{'Open Source': ['115', '329'], 'Free': ['268']}"
ENTERPRISE ARCHITECT,https://sparxsystems.com/products/ea/,['268'],{None: ['268']},{'Tool': ['268']},{'Examples': ['268']},{None: ['268']},{'It automates a task': ['268']},[],1,{'Free': ['268']}
ESLINT,https://eslint.org,['281'],{'Proof-of-concept': ['281']},{'Plugin': ['281']},{'Academic Studies': ['281']},{'Source Code': ['281']},{'It automates a task': ['281']},[],1,{'Free': ['281']}
ETHLINT,https://github.com/duaraghav8/Ethlint,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
EXA2PRO,https://github.com/nikosnikolaidis/Exa2Pro-Plugin,['380'],{'Proof-of-concept': ['380']},{'Framework': ['380']},{'Academic Studies': ['380']},{'Source Code': ['380']},{'It automates a process': ['380']},['380'],1,{'Open Source': ['380']}
FABRICATOR,https://secure.phabricator.com/,['290'],{'Proof-of-concept': ['290']},{'Tool': ['290']},{'Academic Studies': ['290']},{'Source Code\r\nCode Reviews': ['290']},{'It automates a task': ['290']},[],1,{'Open Source': ['290']}
FINDBUGS,http://findbugs.sourceforge.net/,"['429', '241', '67', '281', '332', '57', '38', '4', '9', 'Zengyang-S87']","{'Proof-of-concept': ['429', '281', '9', 'Zengyang-S87'], 'Validation in relevant environment': ['241'], 'Runnig Examples': ['67'], 'Demonstration in real environment': ['332', '38'], 'Demonstration and test in real environment': ['57'], 'Successfully proof in a real environment': ['4']}","{'Tool': ['429', '241', '67', '332', '57', '38', '4', '9', 'Zengyang-S87'], 'Plugin': ['281']}","{'Academic Studies': ['429', '241', '281', '9', 'Zengyang-S87'], 'Examples': ['67'], 'Industrial Studies': ['332', '57', '38'], 'Industrial Applications': ['4']}","{'Source Code': ['429', '241', '281', '332', '57', '38', '4', '9', 'Zengyang-S87'], 'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}","{'It automates a process': ['429', '57'], 'It automates a task': ['241', '67', '281', '332', '38', '4', '9', 'Zengyang-S87']}",['332'],10,"{'Free': ['429', '241', '67', '281', '332', '57', '38', '4', '9', 'Zengyang-S87']}"
FIXME,https://www.fixmebot.app/,['390'],{'Proof-of-concept': ['390']},{'Bot': ['390']},{'Examples': ['390']},{'Github Commits': ['390']},{'It automates a process': ['390']},['390'],1,{'Open Source': ['390']}
FXCOP,http://msdn.microsoft.com/en-us/library/bb429476.aspx,"['67', '38', 'Zengyang-S83']","{'Runnig Examples': ['67'], 'Demonstration in real environment': ['38', 'Zengyang-S83']}","{'Tool': ['67', '38', 'Zengyang-S83']}","{'Examples': ['67'], 'Industrial Studies': ['38', 'Zengyang-S83']}","{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67'], 'Source Code': ['38', 'Zengyang-S83']}","{'It automates a task': ['67', '38'], 'It automates a process': ['Zengyang-S83']}",[],3,"{'Free': ['67', '38', 'Zengyang-S83']}"
GDI HANDLE,http://blogs.msdn.com/b/dsui_team/archive/2013/04/23/debugging-a-gdi-resource-leak.aspx.,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
GEPHI,https://gephi.org/,['237'],{'Proof-of-concept': ['237']},{'Tool': ['237']},{'Examples': ['237']},{'Source Code': ['237']},"{'It automates a task (e.g., static code analysis)': ['237']}",[],1,{'Free': ['237']}
GERRIT,https://www.gerritcodereview.com/,['290'],{'Proof-of-concept': ['290']},{'Tool': ['290']},{'Academic Studies': ['290']},{'Source Code\r\nCode Reviews': ['290']},{'It automates a task': ['290']},[],1,{'Open Source': ['290']}
GITLOG,Not Accessible,['297'],{'Proof-of-concept': ['297']},"{'Approach (e.g., integration of different tools)': ['297']}",{'Academic Studies': ['297']},{'Source Code': ['297']},{'It automates a process': ['297']},['297'],1,{'Open Source': ['297']}
GLMNET,https://cran.r-project.org/web/packages/glmnet/index.html,['315'],{'Proof-of-concept': ['315']},{'Library': ['315']},{'Examples': ['315']},{'Code Comments': ['315']},"{'It automates a task (e.g., static code analysis)': ['315']}",['315'],1,{'Open Source': ['315']}
HADOLINT,https://github.com/hadolint/hadolint,['375'],{'Proof-of-concept': ['375']},{'Tool': ['375']},{'Academic Studies': ['375']},{'Docker-Files': ['375']},{'It automates a task': ['375']},[],1,{'Open Source': ['375']}
IBM RATIONAL PURIFY,https://www.almtoolbox.com/purify.php,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
INFUSION,http://www.intooitus.com/products/infusion,"['76', '88', '353', '351', 'Zengyang-S25', 'Zengyang-S55']","{'Proof-of-concept': ['76', '88', '353', '351', 'Zengyang-S25', 'Zengyang-S55']}","{'Tool': ['76', '88', '353', '351', 'Zengyang-S25', 'Zengyang-S55']}","{'Expert Opinion': ['76', '88'], 'Examples': ['353'], 'Academic Studies': ['351', 'Zengyang-S25', 'Zengyang-S55']}","{'Source Code': ['76', '88', '351', 'Zengyang-S25', 'Zengyang-S55'], 'Source code': ['353']}","{'It automates a task (e.g., static code analysis)': ['76', '88'], 'It automates a task': ['353', '351', 'Zengyang-S25', 'Zengyang-S55']}",[],6,"{'SonarQube  (Open Source), Other (Commercial)': ['76'], 'SonarQube is open source, other commercial.': ['88'], 'Free': ['353', '351', 'Zengyang-S25', 'Zengyang-S55']}"
INTEL THREAD CHECKER,Not Accessible,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
INTELLIJ IDEA,https://www.jetbrains.com/idea/,['356'],{'Runnig Examples': ['356']},{'Tool': ['356']},{'Examples': ['356']},{'Source code': ['356']},{'It automates a task': ['356']},[],1,{'Commercial/Private': ['356']}
IPLASMA,https://www.microfocus.com/en-us/products/together/overview,"['278', '353']","{'Runnig Examples': ['278'], 'Proof-of-concept': ['353']}","{'Tool': ['278', '353']}","{'Examples': ['278', '353']}","{'Source code': ['278', '353']}","{'It automates a task': ['278', '353']}",[],2,"{'Open Source': ['278'], 'Free': ['353']}"
JAEGER,https://www.jaegertracing.io,['292'],{'Runnig Examples': ['292']},{'Tool': ['292']},{'Examples': ['292']},{'Source Code': ['292']},"{'It automates a task (e.g., static code analysis)': ['292']}",[],1,{'Open Source': ['292']}
JAVANCSS,https://github.com/nokia/javancss,['2'],{'Proof-of-concept': ['2']},"{'Approach (e.g., integration of different tools)': ['2']}",{'Academic Studies': ['2']},{'Source Code': ['2']},"{'It automates a task (e.g., static code analysis)': ['2']}",[],1,{'Open Source': ['2']}
